content,score
"tampilan bulan dengan kalender alternatif dibuat lebih rapi lagi lah, di susun atas bawah jangan dibuat kanan kiri jadi kelihatan sempit.",4
"tolong developer perbaiki tampilan menu bulan bikin yang lebih simple,setiap bulan dipisah saja jangan digabungin tanggalnya,biar lebih terlihat elegan,terima kasih.",2
"Suka banget app ini, praktis dan lengkap, hanya saja bagi pecinta aesthetic yang suka bikin color code, warna di website udah bagus lalu ketika dilihat di hape jadi beda dan gelap.. 😭",5
"Suka banget sama aplikasinya. Kalo mau buat jadwal sampe timeline bisa terukur aja, sama tampilannya menarik buat dilihat. Saran, semisal ada ditambah fitur gambar, misal buat nyimpen memori setelah kegiatan berlangsung apakah memungkinkan?",5
masa update terus sihh tiap seminggu sekali update teruss! bisa ga 3 bulan aja g update 👊🏻 abiss kuota saya kalo gini terus kali ini saya ga mau update!!!,1
💡💡💡💡akan lebih baik jika bisa menambahkan catatan keep yang tersingkron langsung pada timline google kalender,4
Terlalu sering pembaruan yang tidak penting .. Hanya membuat boros kuota saja .. Mengecewakan sekali ..,1
"UI-nya bagus, fiturnya oke, informasi tanggalnya juga tersedia cukup baik dan akurat.",5
"Keren makin update makin bagus, tidak seperti dulu hari² kadang kurang dan perbaikan bug realistis makin berkembang semoga update nanti makin bagus🙏",5
"diantara apl kalender, icon google kalender yg terjelek. Angka 31 pd icon sangat miris, tdk berupa penyesuaian tanggal harian",1
"Sinkronisasi di hp sama di laptop suka lama banget. Kalau edit di laptop, di hp ga muncul, dan sebaliknya :""",3
lebih bagus tampilan di apk mengikuti tanggal di hari itu.,5
info sangat membantu dalam hal apapun baik pekerjaan dan atau pun hari libur nasional.,5
"Aplikasi bagus banget utk liat tanggal hr ini besok lusa dan yg akan datang, tampilan simpel tegas dan akurat.",5
"Seluruh task maupun event yang saya buat dari Google Calendar desktop tidak tersinkronisasi dengan benar saat diakses melalui aplikasi mobile. Event dan task yang ditambahkan dari desktop pasti muncul lebih 1 hari pada versi mobile nya, dan untuk jam nya berubah tak selaras dengan yang sudah ditentukan. Saya sudah mengikuti saran dari pedoman yang dicantumkan oleh Google tapi tidak membantu sama sekali.",2
"Aplikasi keren untuk lihat tanggal berapa dan ada festival apa, terus juga ada dark modenya untuk buat mata gak cepat lelah, tapi tolong kalau bisa buat tanggal di ikon aplikasinya sesuai tanggal sekarang contoh sekarang tanggal 9 ya buat tanggal di ikon aplikasinya juga 9, cuman ya kalo bisa, kalo gak bisa gapapa",5
untuk tugas mungkin bisa dikembangkan sehingga bisa menjadi widget di layar handphone. Terima kasih.,4
Jadi tidak bisa mencari tanggal.. Contoh kalau mau cari tanggal 12 agustus 2003 .. harus di geser manual..,3
"sangat keren banget membantu.tanpa harus lihat "" kalender di dinding",5
Kenapa setelah diupdate malah tidak mendapatkan notifikasi jadwal yang sudah saya buat ya?,1
Ngga jelas udah di update tapi pas buka update malah Blang update tidak tidak bisa gmn sihh,2
"tampilan nya jelek banget demii, bagus pas sebelum nya. balikin please",1
sangat puas dan sangat membantu smua kenyaman dan aktifitas saya trima kasi sama smua pengusaha di apk ini.,5
"Tampilan nya terlalu kaku dan pelit desain,kalender nya tidak ada warna untuk hari libur atau hari minggu,dan gaya font angka terlalu kecil mengikuti font standar, padahal ukuran aplikasi sudah lumayan besar untuk sebuah aplikasi kalender",1
"untuk diriku yang kuliahnya online-offline, ini sangat berguna untuk menjadwalkan pertemuan perkuliahan. ditambah, tautan untuk google meet juga sudah disiapkan, kita hanya membagikannya ketika kelas dimulai. selain itu, ada notifikasi pengingat yang jika kita lupa, ketiduran atau hal lain, ada notifikasi yang berbunyi dari aplikasi ini. untuk warna per kegiatan, tolong diperbanyak🙏🏻",5
"Tampilan kalender membingungkan, buat yang simple untuk tampilan bulanan. dan jelas bulan tahunnya kolom jangan kebesaran",5
Bagus sekali mudah dipahami ui ya juga mm mudah dimengerti,5
"... 👍 terbaik, dan Saya berharap ada kalender Jawanya pada update berikutnya 😆 dan sêkarang 1 bulan biså update 2 kali biar tambah top cer",1
"cukup membantu sekali, juga lengkap, apalagi yg blom punya Klender yg nempel d tembok,,!?",5
"Tampilan kalendernya aneh, kalo bisa dibalikin kayak sebelum update aua",1
"google kalender mantaap, keren, fiturnya di tingkatkan terus",5
sangat bagus saya kasih bintang 5. tetap semangat. Dan terus berkembang,5
"Sebenarnya ini app bagus, cuma kendala terbesarnya itu, kalau kita mau buat gcalendar, itu tidak bisa buat di HP, harus di laptop, jadinya terkendala karena tidak punya laptop",5
"bagus, kalau bisa di tambahkan lagi, pon pahing da seterusnya",5
tolong di perbaiki lagi karena kalender sering keliru,2
tampilannya cicoklah lumayan bagus dan bisa di update,4
"Kurang Bagus tampilannya, kalah Dengan calendar nya Xiaomi",1
tetap semangat dan menjaga kualitas 1 lagi kenyamanan pengguna itu yang penting,5
Mendadak jadi aneh tampilan nya. Tampilan kolom nya bikin pusing. Kembalikan tampilan seperti dulu (sebelumnya). Saya tidak nyaman dengan tampilan kalender yang sekarang!!!,2
Tampilan lebih nyaman versi lama,2
mudah simpel elegan,5
Sangat membantu dan di perlukan adanya kalender,5
pengaturan waktu dan tanggal yang akurat dan simple,5
"Tidak dpt mengupdate,gagal terus kalau diupdate",1
"Update terakhir tidak bagus, sekarang notifikasi di layar tidak bisa ditampilkan semua, jika ada 10 notifikasi, cuma bisa ditampilkan sebagian saja, 2-3 notifikasi, sebelumnya jika diusap ke bawah bisa ditampilkan semua dan notifikasi yg sdh tidak diperlukan bisa dihilangkan dgn cara diusap ke samping, skrg tidak bisa, hrs ditandai selesai, lebih repot dan ribet, versi sebelumnya masih lebih bagus, tolong dipertimbangkan kembali. Kenapa notifikasi kalender di layar kunci bisa berubah sendiri ?",1
tampilannya terlalu rumit.. kalau bisa tampil tanggalnya lebih disederhanakan,1
Terus tingkatkan kualitas terbaik dan mempermudah bagi penggunanya admin,5
"sudah bagus, tolong tanggal nya di buat lebih besar lagi, seperti penanggalan pada umumnya...",4
"Perfect Aplikasinya. bisa nampilin Kalender Hijriyah, Tanggal Merah Nasional Indonesia. Untuk keseluruhan sangat Bermanfaat. cuman satu saja saran dari saya. tolong beri Perbedaan Hari Libur Naasional Indonesia nya pake warna merah, untuk sisa terserah Developer. tambahin Night Mode, Tampilan Tanggal di Kalendernya Lebih nyaman Kotak jangan nyesuaikan Tampilan, gak enak aja kalau liat kalender di tanggal nya Memanjang Ke bawah kalau nyesuaikan layar. yang lainnya Pertahanin dan tingkatkan.",5
Sebelum update lebih bagus. Lebih banyak tema buat tugas tugas,1
"Kalau bisa fitur-fiturnya ditingkatin lagi, bakal lebih bagus kalau lampiran file foto ada previewnya di menu kalender, jd gausah diklik dlu buat ngeliat fotonya. Trus color code kalender di PC dan di hp bener-bener jauh banget warnanya, misal saya set kuning di PC nanti di HP bisa muncul coklat",3
perlu harus ada kalender nya,5
Sangat bagus tetapi saran kalendernya lebih berwarna dong misalkan hari libur nasional/hari Minggu tulisannya menjadi warna merah biar lebih mudah di lihatnya kalau warna hitam semua walaupun ada keterangannya masih kurang bagus menurut saya. Untuk tampil di iconnya selalu berubah ikutin hari jangan selalu angka 31.,3
kenapa aplikasinya nggak akurat?? waktunya selalu tertinggal?!!,1
Lebih gampang lihat tanggal & waktu,4
kalender bisa membantu kita untuk melihat tanggal atau pun ulang tahun orang lain,4
bagus tapi item old jangan di keluarkan,5
"Praktis karena selalu ada di smartphone. Digunakan utk schedule2 rapat, dan lain2. Sangatbantu.",5
"HP saya oppo , saat dipilih kalender malah ke menu awal. Dari playstore,buka kalender bisa. Udah coba unistal ,lalu instal ulang masih saja ga bisa dibuka kalau dari gambar kalendernya. Lalu, akunnya nambah jadi ada nobody@localhost,saya merasa tidak aman.. kecewa ahh..",1
aplikasi ini sangat membantu untuk memperingati hari suci ramadhan ini Hehe 😁😁👍👍,5
Sangat membantu karena kalender merupakan jadwal yang sangat penting bagi saya,4
"tulisan angka kecil, kurang menarik",3
Terima kasih banyak atas informasinya update versi terbaru nya....!!!!,5
sangat bagus sangat membantu jdi gk perlu beli tanggalan,5
Bagus.. sangat membantu sekali terutama dalam mengingatkan event event penting dalam keseharian kita.,5
terus tingkatkan kualitas nya,3
tidak bisa dihapus jadwal yang tidak diperlukan lagi,3
Lambat tdk koneksi update,4
Sgt bagus.. Pertahankan sistem kerjanya,5
"membantu bila lupa tgl ,bisa buat perencanaan",5
bagus untuk melihat jadwal kedepan,5
Tolong ya gak usah di update tiap hari juga,3
Makin keren tampilannya oke mantep,5
Suka karena di tanggalnya ada keterangan hari liburnya,5
"tampilan bagus, cukup professional lah ya. saran saya sih tolong ada fitur target mingguan atau rencana mingguan dan ulasan atau feedback yang sudah didapat setelah seminggu berlalu agar ada gambaran tentang diri sendiri selama seminggu dan instropeksi terkait hasil yang didapat dari tugas atau acara yang direncanakan apakah banyak yang terselesaikan atau tidak",5
Perlu sekali bagi saya.karena terkadang sering lupa di usia 77 thn bgn..,5
"bagusnya ada mode penanggalan Jawa, arab dan cina. karena ketiganya sangat terutama kalender cina sangat akurat untuk menghitung bulan dan air laut",3
